bacias,Floresta_3,Savana_4,Campo_12,AgricPast_21,ArNaoVeg_22,aflorRoch_29,agua_33,Vizinho,Viz42,Viz52,Viz56
732,2032,2136,2098,2254,582,0,1127,4,0,0,0
741,2779,2294,1766,1947,2240,124,1971,6,1,1,0
742,3672,3614,4352,3490,3618,1879,2343,6,1,1,0
743,4880,4070,4150,3784,2297,1,2686,7,1,0,0
744,4084,4540,2744,4351,4205,201,3349,9,1,0,0
745,3976,4615,5422,4177,3244,0,3949,5,0,0,0
746,3248,3293,3961,3279,1752,0,2814,6,0,0,0
747,967,1699,2349,1734,188,0,1439,5,0,0,0
751,2624,2064,1885,2406,2670,908,2744,4,0,1,0
752,2133,2743,1981,2843,1888,1337,1872,6,1,1,0
753,2158,2319,3429,2630,2452,1731,2429,5,0,1,0
754,4505,3755,2315,3830,3449,1821,2043,10,1,1,1
755,1940,1921,2849,2171,2226,212,3611,5,0,0,1
756,3397,3485,3209,3228,3255,2494,2788,6,0,0,1
757,2769,1971,2319,2357,2943,602,2366,5,0,0,1
758,2661,2691,2991,2590,2303,2729,1651,6,0,0,1
759,2141,2038,2382,1945,1792,164,1954,5,0,0,0
762,1521,1610,1734,1573,63,11,321,5,0,0,0
763,3523,3579,4359,3375,2604,435,2054,7,0,0,0
765,2180,2513,2270,2170,2659,1764,1844,5,0,0,0
766,2988,3541,3656,3571,3060,2003,3479,5,0,0,0
767,1628,1960,1130,1737,1720,226,1506,3,0,0,0
771,1829,2298,3123,2055,1923,0,1689,7,0,0,0
772,3687,3785,3205,3603,2632,13,2076,6,0,0,0
773,1697,1617,1597,1799,2345,0,853,5,0,0,0
774,5436,4309,3937,4917,6042,266,2160,8,0,0,0
775,1656,1688,620,1683,1848,0,510,5,0,0,0
776,4883,4131,4982,3982,3255,951,4747,7,0,0,0
777,1999,1817,1266,2018,303,262,1999,4,0,0,0
7611,884,1838,1910,1829,1273,5,2925,6,0,0,0
7612,2584,2461,1687,2249,2307,48,2826,6,0,0,1
7613,2055,2892,4808,2421,2205,12,4084,7,0,0,0
7614,2744,2283,1784,2187,2007,2,2058,5,0,0,0
7615,2165,2997,5071,2840,3538,623,4041,8,0,0,0
7616,4509,2727,2533,2349,3972,3776,2004,6,0,0,0
7617,2577,2962,2592,2370,3639,4022,2577,6,0,0,0
7618,4054,3110,2368,2921,3082,2608,2513,6,0,0,0
7619,4616,4357,3936,4713,2525,13,2450,7,0,0,0
